Time(millis);b_voltage;b_current
125614;743.000;385.000
125870;743.000;387.000
126126;742.000;383.000
126382;742.000;385.000
126638;742.000;386.000
126894;742.000;383.000
127149;742.000;385.000
127405;741.000;385.000
127661;741.000;394.000
127917;742.000;382.000
128173;742.000;387.000
128429;742.000;387.000
128685;742.000;389.000
128940;742.000;385.000
129196;742.000;387.000
129452;742.000;388.000
129708;741.000;388.000
129964;742.000;388.000
130220;741.000;386.000
130475;741.000;387.000
130731;741.000;383.000
130987;741.000;389.000
131243;740.000;381.000
131499;740.000;386.000
131755;740.000;383.000
132009;740.000;384.000
132259;741.000;387.000
132509;740.000;388.000
132759;740.000;387.000
133015;740.000;386.000
133270;741.000;384.000
133520;740.000;383.000
133770;740.000;389.000
134020;740.000;382.000
134276;740.000;384.000
134531;740.000;390.000
134787;740.000;385.000
135043;740.000;384.000
135299;739.000;386.000
135555;739.000;382.000
135811;739.000;386.000
136066;739.000;384.000
136322;739.000;382.000
136578;738.000;386.000
136834;739.000;388.000
137090;739.000;382.000
137346;739.000;387.000
137601;740.000;385.000
137857;739.000;386.000
138113;739.000;390.000
138369;739.000;389.000
138625;738.000;388.000
138881;738.000;388.000
139137;738.000;387.000
139392;738.000;386.000
139648;738.000;387.000
139904;738.000;386.000
140160;738.000;388.000
140416;738.000;385.000
140672;738.000;383.000
140926;738.000;388.000
141176;738.000;387.000
141426;737.000;384.000
141676;738.000;384.000
141932;738.000;390.000
142187;738.000;383.000
142437;737.000;387.000
142687;738.000;390.000
142937;737.000;384.000
143192;737.000;389.000
143448;737.000;388.000
143704;737.000;384.000
143960;736.000;386.000
144216;737.000;389.000
144472;736.000;383.000
144728;736.000;385.000
144983;736.000;387.000
145239;736.000;384.000
145495;736.000;385.000
145751;737.000;387.000
146007;737.000;386.000
146263;737.000;386.000
146518;737.000;386.000
146774;737.000;387.000
147030;737.000;390.000
147286;737.000;388.000
147542;737.000;390.000
147798;736.000;383.000
148054;736.000;386.000
148308;736.000;386.000
148558;736.000;387.000
148808;736.000;385.000
149058;736.000;385.000
149313;735.000;388.000
149563;736.000;388.000
149813;735.000;386.000
150063;736.000;387.000
150319;736.000;386.000
150574;736.000;388.000
150830;736.000;386.000
151086;736.000;384.000
151342;735.000;385.000
151598;735.000;388.000
151854;735.000;389.000
152109;735.000;386.000
152365;735.000;387.000
152621;730.000;386.000
152877;730.000;390.000
153133;729.000;386.000
153389;730.000;387.000
153645;729.000;382.000
153900;729.000;386.000
154156;729.000;386.000
154412;0.000;510.000
154668;1.000;510.000
154924;0.000;506.000
155180;0.000;508.000
155435;0.000;509.000
155691;0.000;503.000
155947;0.000;506.000
156203;0.000;504.000
156459;0.000;510.000

151086;736.000;384.000
151342;735.000;385.000
151598;735.000;388.000
151854;735.000;389.000
152109;735.000;386.000
152365;735.000;387.000
152621;730.000;386.000
152877;730.000;390.000
153133;729.000;386.000
153389;730.000;387.000
153645;729.000;382.000
153900;729.000;386.000
154156;729.000;386.000
154412;0.000;510.000
15
